region_list,model_name,area,BGC_GPP,model_log10ratio,burke_growth_log10ratio,burke_level_log10ratio,newell_growth_log10ratio,newell_level_log10ratio
Kenya,ACCESS-ESM1-5,578850799616.0,2.4163562930778846,-0.035814553868475596,-3.89252243746092,-0.05541109418321469,0.12464844014324522,-0.015093081708412674
Kosovo,ACCESS-ESM1-5,21358749696.0,4.455678959004596,-0.045939941311081006,-3.6026990810826773,-0.040688646422159865,-0.8282234518868843,-0.0162291740893239
Kyrgyzstan,ACCESS-ESM1-5,238300485632.0,1.7577623989859086,0.05119406780784653,1.7292285435201988,0.013708313488474755,0.05395921850832784,0.017203683965988342
Laos,ACCESS-ESM1-5,192734044160.0,8.263075562781069,-0.09686431310833063,-7.458016323707633,-0.22334333585397512,-0.4405042389133915,-0.17766538341855526
Latvia,ACCESS-ESM1-5,63320354816.0,4.020776739940406,0.08756313198707516,0.515690091632487,-0.001480446042649807,0.03263342924404676,0.005571018303882768
Lebanon,ACCESS-ESM1-5,24087478272.0,2.0239517844871213,-0.16290650340127433,-5.947638608901163,-0.05776435346382506,-0.7431084471205118,-0.04460964264759813
Lesotho,ACCESS-ESM1-5,25088550912.0,5.483168566045121,0.024130797479324097,-2.6748127717900854,-0.0794088646079349,-0.20464092362552921,-0.05624013944004795
Liberia,ACCESS-ESM1-5,28797577216.0,8.245667753294065,-0.04134296461310772,-5.845871012240935,-0.18813944713740208,-0.04567161289798444,-0.13345923764970877
Lithuania,ACCESS-ESM1-5,48805844992.0,4.173416952213226,0.07114564367206203,-0.05969080351206309,0.0035278922478604526,0.06650879278952394,0.02399293491273296
Madagascar,ACCESS-ESM1-5,573228824576.0,5.846943908636815,-0.1502290975543642,-6.190034959714081,-0.18716227714802403,-0.385461119748586,-0.171506048630524
Malawi,ACCESS-ESM1-5,141348022272.0,5.957704557581527,-0.17710408244399664,-6.675850609577216,-0.3540336554931788,-0.44073857057467475,-0.3206932681694802
Malaysia,ACCESS-ESM1-5,260183490560.0,9.928705903589636,-0.031868305373705,-6.365408758991797,-0.13288355569856558,-0.048700549680164004,-0.07494500741161113
Mali,ACCESS-ESM1-5,1353404588032.0,0.4323444506863968,-0.4938254474693211,-10.916617835690962,-0.35398677498083836,-0.5640006920081222,-0.2122212784990527
Mexico,ACCESS-ESM1-5,1819402860544.0,4.257932795153783,-0.12281841894807109,-5.851340949018721,-0.1862669542899795,-0.5976113789099919,-0.16791627112187663
Moldova,ACCESS-ESM1-5,19571687424.0,3.924656171469956,-0.02448879899907615,-2.80826025555464,-0.004520889228063529,-0.6330769167561981,0.018775275972618414
Mongolia,ACCESS-ESM1-5,1540728825856.0,0.6801001694789687,0.13787913256518086,5.170798389583455,0.14267832146967657,0.5249401940332645,0.12458837380176374
Mozambique,ACCESS-ESM1-5,773465264128.0,5.491588013655929,-0.2868565557707768,-7.762611821427071,-0.469693147958154,-0.6476095938234752,-0.37785784674789974
