years,model_name,model_cumulative,burke_growth,burke_growth_5,burke_growth_25,burke_growth_75,burke_growth_95,burke_level,burke_level_5,burke_level_25,burke_level_75,burke_level_95,newell_growth,newell_growth_5,newell_growth_25,newell_growth_75,newell_growth_95,newell_level,newell_level_5,newell_level_25,newell_level_75,newell_level_95
2035,ACCESS-ESM1-5,2.0739204821792923,-32.45016932087375,-43.22216429893506,-36.85021290594995,-27.06502107483686,-18.943285101927266,-2.5046822208520836,-3.3592643028091618,-2.852384686935583,-2.122736694268146,-1.6471079935290178,1.8982545572050147,-65.54382065911196,-17.22716954878124,9.411366060479143,26.9062103139532,-1.684728390905571,-8.093059125339689,-2.799866096435444,-0.419647479345564,2.811201561705756
2036,ACCESS-ESM1-5,4.871362914976118,-33.132561416635134,-44.32253553573352,-37.65755855289166,-27.409459472734255,-19.008766518065656,-1.0431290779949198,-1.5295826664579404,-1.2258193486631819,-0.8434122793896104,-0.5825579735747377,1.1861527648489356,-67.4883859237977,-18.17408324462104,11.578764892650995,30.24653747592016,-0.8265845298802255,-6.067767369831262,-1.7477451825026913,-0.050041299293512864,1.6915759499653982
2037,ACCESS-ESM1-5,2.3942841862579556,-33.56057064387517,-45.27518861383436,-38.386068298879664,-27.48183991746024,-18.566115340139213,-1.0241610082193042,-1.7734273369380382,-1.3126554690063075,-0.7273535800798925,-0.33162173064765765,0.9152162981694856,-69.22264540338949,-18.905923280142613,12.184971418379376,32.925202437232755,-0.7403509135648412,-5.515762179917085,-1.7363675061201178,-0.15127537332033647,1.6816370424618876
2038,ACCESS-ESM1-5,-4.274124142922409,-39.31313168258943,-50.679934777241264,-44.09703478194439,-33.39895614267353,-24.477826440571093,-8.200283899034154,-9.466380286992193,-8.686834836516566,-7.660627550400023,-6.96171306622203,-3.647560119281934,-73.05915840231994,-22.903574028291896,3.8179033996851297,28.092266301106875,-7.561650802042863,-10.58359410750853,-8.772356095727861,-3.964871067596498,-1.6396788793264008
2039,ACCESS-ESM1-5,-6.874719925382145,-43.05362868955566,-54.637818063784714,-48.02043223356813,-37.04075208440772,-27.889556408657146,-7.3036766058619085,-8.750646456853273,-7.895349110015548,-6.718333367155593,-5.8318460299478625,-3.4156118336417354,-75.84446355880428,-25.0713187292658,3.2833072476365466,27.1857092850339,-6.714208728192,-14.549902946002282,-10.070315574430811,-4.676912842630521,0.8423358821495475
2040,ACCESS-ESM1-5,-3.757696474904315,-44.83213505299957,-56.84087453690615,-49.9229734506786,-38.47841168308577,-28.92129759378855,-4.844911524159478,-6.129092819253512,-5.371992959260307,-4.293506565944782,-3.54507352426644,-0.20672341052832,-77.6861647537789,-26.18634300974395,7.060847414208227,29.415924098365693,-4.325612919979382,-15.543754528618928,-7.350370376213,-1.5224143141753577,2.19300461075961
2041,ACCESS-ESM1-5,0.17036817259044046,-44.814881788711425,-57.252511382484926,-50.07634513785819,-38.198401656570155,-28.090678163011507,-0.8708618296456194,-1.5925498328007048,-1.157639848009706,-0.5699676409914645,-0.20030102843898723,2.0539184634260854,-78.58897658824291,-26.414971625103224,14.868838688531994,37.15918640115253,-0.593421999381355,-9.227644667527208,-1.8540061472953395,0.3940675443841135,3.293603476068858
2042,ACCESS-ESM1-5,-2.5323434952349455,-47.980959131715096,-60.25988663109071,-53.25401941720638,-41.44154500481374,-31.292512702178755,-5.215013354917575,-6.075440652993114,-5.550821821084783,-4.81134948752906,-4.300511355451753,-0.8967759133819919,-80.75048861327116,-28.332951851847056,12.151653868834234,37.19616322531279,-3.968244363357243,-9.224976872726215,-5.1513337760641935,-3.1705522150202725,-0.7342463694559932
2043,ACCESS-ESM1-5,-2.2493255955635116,-51.030665297530284,-63.12981369990015,-56.22707046019069,-44.43202332361962,-34.333052701202796,-6.545518445355314,-7.705978307311378,-7.023135666560998,-6.074871785447766,-5.385270472644588,-1.6807947707858928,-82.51441068987305,-30.94402268623885,10.277843225545213,35.720400914669966,-5.543824485432852,-10.386096336674122,-7.654390120037247,-3.3047033440790075,0.2288054708958942
2044,ACCESS-ESM1-5,-0.9635557897422986,-52.490580851797006,-64.73106878118773,-57.7783780769179,-45.76203619190756,-35.347087099838284,-3.441919540986471,-4.3550711649227525,-3.800391522605484,-3.0357146206743013,-2.499539945458684,-0.9179006636010567,-83.91356475509507,-32.12206685826031,13.469836987428717,39.53828891351188,-3.588407514361508,-10.413290456199007,-5.222929556802713,-1.922924041559071,0.5308359219040071
2045,ACCESS-ESM1-5,4.627090498863429,-51.938988028228295,-64.7091070088228,-57.42860219380896,-44.88427474621266,-33.784611943196616,-0.3630507300562358,-1.2467423921381227,-0.7325127543219789,0.013798978139067941,0.48400119676341724,3.0508704767009065,-84.5479396910109,-31.074760213380248,19.834852794590585,48.877150323717764,-0.1058592126403135,-9.064824554134617,-1.4318418073906103,0.4004072141632342,3.499398290560811
2046,ACCESS-ESM1-5,0.07538311971806433,-55.57700003009527,-67.93966861694842,-60.88768381894067,-48.672804740143604,-37.76522638697089,-7.847269340045592,-9.056886713783385,-8.316918100507575,-7.327632071917889,-6.612287493016589,0.3735110909628525,-86.35236580093621,-33.32271624285643,15.083547738745807,45.57442440139996,-5.7957166813157155,-11.420968385516563,-7.230973046084676,-2.801061930514792,0.7559673908881548
2047,ACCESS-ESM1-5,2.2534713063673717,-56.249069332853885,-68.8007045546738,-61.66118629880635,-49.09993764050975,-37.79635622529896,-2.929176561361657,-3.919980791279276,-3.32235988635885,-2.4871310263830493,-1.9288365061702617,2.094859268336191,-87.28772276566387,-33.45987815886067,18.86663197412308,51.82017356681987,-2.368730977393918,-11.385261008533588,-3.9984059179422937,-0.9403777577637107,2.4794021736712857
2048,ACCESS-ESM1-5,2.925336401947476,-56.91209889752902,-69.5714271841704,-62.38775195864792,-49.648204853919,-37.98910446003565,-2.0462764380139276,-2.755949747460984,-2.3109724703314405,-1.7329774551629984,-1.3187253236716323,2.587587726712648,-88.07025116021528,-34.48070502030603,21.993495737991676,58.201660524353755,-1.2736791233382672,-9.328637948901374,-2.556321875850842,-0.32146747508642326,2.550438821455314
2049,ACCESS-ESM1-5,1.7948486164676591,-58.91540517296192,-71.37915556247944,-64.37212765597423,-51.71405891775724,-40.08971532429991,-4.888177923277781,-5.809929993241814,-5.247975334134503,-4.479859572298017,-3.9581172539020937,1.0861299882100939,-89.1580353543182,-35.56008356358578,20.48896713577715,58.39170397332178,-3.2043114672041737,-9.778547558850788,-4.5465878649440405,-1.719225050894868,1.0754724084705325
2050,ACCESS-ESM1-5,0.17050978809061146,-60.56536982925231,-72.8901459036349,-65.98104478696627,-53.37921788622276,-41.59420236924562,-3.9362756331883686,-4.893185615149731,-4.309517475372415,-3.508923704551925,-2.9374543931234287,-0.9637548120400186,-90.15473959854809,-37.015915706544575,20.137571735500725,60.677011570121586,-3.5875404568738114,-10.734241520974429,-4.90130504056131,-2.480733959628756,-0.14304386861418775
2051,ACCESS-ESM1-5,-0.1825449675227575,-62.34228072954067,-74.50613254744734,-67.7140660933217,-55.15176033481251,-43.32763624370733,-5.165274616887627,-6.230416923329374,-5.595285773415215,-4.68087191741271,-4.0644819274126665,-0.8899381995723876,-91.05616084175185,-38.327932231922844,19.544753307844577,63.52310897852816,-4.52044528538379,-12.315809781899228,-6.175038452873471,-2.3103707989678646,0.47597066996875714
2052,ACCESS-ESM1-5,2.2878680265432605,-62.739689314445876,-75.19621916347045,-68.19660653561789,-55.35280304719532,-42.974098667431285,-2.4857942848791392,-3.711506510432472,-2.9719374155556477,-1.9702970717593082,-1.3023582653707733,1.5836224300135315,-91.67944437660734,-39.057210602577044,22.639230595791272,68.7237594723314,-2.1765494847775013,-12.641645910097306,-4.024137330394007,-0.8927193585688387,2.450278506387602
2053,ACCESS-ESM1-5,-3.9706975971452674,-67.02001819967344,-78.55065400603877,-72.13583965121121,-60.04065657925079,-48.468659389705536,-11.562974368610647,-13.43796894898549,-12.309259308214104,-10.770421645395945,-9.68056248621697,-2.4288498808105627,-93.03467380756216,-41.974603446120376,14.224632132838021,60.22135948196265,-10.304427492195694,-18.231168811407187,-12.538725661332183,-5.401459419168974,-1.0598118092848832
2054,ACCESS-ESM1-5,-4.051797824788183,-69.36103705865706,-80.46457798538056,-74.32985899303095,-62.55425225661774,-51.21637036378828,-8.126249867396728,-9.73053340198291,-8.759279607505388,-7.412485953219061,-6.4848807917751605,-2.4739821515421587,-93.89126242283432,-44.09144131922967,14.66805178281534,59.6426854599279,-7.308368247286823,-19.781793437104884,-11.596780269259476,-4.967023712003826,0.6094143925498141
2055,ACCESS-ESM1-5,-6.310609311348991,-72.34399632340572,-82.75200812108346,-77.08500149492133,-65.88096055888397,-55.13376692766694,-10.580965653499918,-12.414342448446526,-11.325510469795862,-9.788895962248379,-8.65673122535614,-2.8793578487249674,-94.81032196051807,-46.996451097751404,14.929506488875077,57.6005751935085,-9.646465226301826,-21.44476688827266,-13.054349970295009,-6.4933752050177596,-0.0927105666895845
2056,ACCESS-ESM1-5,-3.698231097706428,-74.29559799986514,-84.29268399667714,-78.83942810301066,-68.04752997602101,-57.575434231610956,-8.807349434860345,-10.43032584195931,-9.455498477170888,-8.111955597454168,-7.136349437443091,-0.7033282865799517,-95.40437340405211,-48.19657478643212,19.39814387270018,66.2376277952746,-7.844565766088274,-19.480007632028293,-11.50369922112392,-3.750557102855845,1.1654619792476506
2057,ACCESS-ESM1-5,-0.8590927758836853,-76.3314902400223,-85.74770203807655,-80.63463670169574,-70.35835724274445,-60.2938180896886,-8.44889670562331,-9.848931740741396,-9.007929891773658,-7.820977026924769,-7.013530545532964,-0.8601562876987157,-95.98771245071619,-49.9092638240233,22.60638297339186,74.46009380374495,-7.21580717973152,-16.938454702275344,-9.644308904467291,-3.907454188271031,-0.2741419276335466
2058,ACCESS-ESM1-5,0.08989907651471007,-76.93030794552057,-86.38136247021781,-81.26568863186546,-70.86993644459258,-60.50349156828766,-4.62154810702009,-6.119159374507643,-5.2118753076547675,-3.9558259407783014,-3.1457399602888403,2.8314804959548856,-96.32242171391965,-50.02393480457534,30.595056260809784,86.80546499305001,-3.710925306135471,-14.884701526818612,-6.304797783271954,-1.1547224188826921,3.425842383687976
2059,ACCESS-ESM1-5,-0.7122712514623708,-78.89909394658024,-87.75409353431951,-83.02315556526085,-73.01370971008814,-63.222891793897574,-9.98955224236726,-11.792265027446291,-10.700638807530627,-9.240139012130388,-8.137382030053475,1.3113072739476817,-96.79031674140472,-52.03461764669062,27.104560546947233,84.70358080727581,-7.882136311230475,-18.437170666718227,-10.56424435510721,-2.7245275505612843,2.6036423900645467
2060,ACCESS-ESM1-5,-3.282663443429401,-80.93407990769816,-89.2198783866254,-84.78285688063826,-75.35659523462127,-66.04314761584251,-11.977145079296426,-14.13480809407136,-12.845331774577629,-11.044415890393555,-9.742065357067464,1.0433134662701904,-97.25710408257677,-53.7582810725818,24.48034257906153,82.32339029097623,-10.70534703376283,-23.58738361427018,-13.679281652291198,-3.192678667938087,2.3218408594445883
2061,ACCESS-ESM1-5,1.013884033571566,-81.50721403728562,-89.712897076511,-85.32480763468364,-75.89201508053699,-66.44172900329862,-4.784443219346679,-6.196095494798137,-5.340592886650053,-4.137936640624551,-3.3514086608153026,3.0742594386179767,-97.49038177504424,-53.7913630254744,33.031389294405386,100.45418294067414,-4.190226044877515,-19.083254937636674,-7.2074873736993395,-1.6382367864021807,3.9664040719685407
2062,ACCESS-ESM1-5,1.0579159028502705,-82.81670858343405,-90.65803967113322,-86.471538021735,-77.39078559538883,-68.11700644467417,-8.675079862047518,-10.362419525168342,-9.359792230383112,-7.935879015165059,-6.9392877299717775,2.924395157148918,-97.79157568496721,-55.005028811786346,33.928755080227326,104.61569503430387,-6.937409439896619,-19.194541840360152,-9.311524659121206,-2.0907031854996427,3.8480360980096906
2063,ACCESS-ESM1-5,0.5899699424056104,-83.93486657988825,-91.4728978497663,-87.46206358486907,-78.65892433470557,-69.48120664262349,-8.553061024787157,-10.372222077792404,-9.301648818267804,-7.721957213676934,-6.689545364327653,2.9595274508641523,-98.04881203108022,-56.036690000887624,35.06613553780134,108.99521783562086,-7.056408811900944,-19.739702040182905,-9.588132369349955,-2.130175902854181,4.124116059384915
2064,ACCESS-ESM1-5,-2.227272835544425,-85.28958698617052,-92.36359666480573,-88.60727162394151,-80.25433278920802,-71.45985755705445,-9.352314209155443,-11.070406415862521,-10.032846897283864,-8.581761192812365,-7.609851474707952,0.5247949117208495,-98.32614790273271,-57.622294198906545,34.715630519540895,110.74295617171704,-8.24942325103346,-20.621376456611465,-10.92571677086811,-4.449640473292704,1.5912371487292232
2065,ACCESS-ESM1-5,-4.121890962081043,-86.23426440268352,-92.99764609834081,-89.46424509542558,-81.34697955333084,-72.69456229494871,-8.743760468212292,-10.803322092320622,-9.575659662573244,-7.787583337931203,-6.578410259100997,2.059166317611638,-98.54185856743976,-58.78613814531962,36.45607938999203,114.39521688195416,-7.8030308548756535,-22.366167955135044,-10.463856704716513,-2.959810803144869,3.556042067496139
2066,ACCESS-ESM1-5,-6.181168929638625,-87.50952698172809,-93.78813553351495,-90.55603855619168,-82.85884969814859,-74.67129343244116,-12.255941759754506,-14.500234477960838,-13.187310862449554,-11.281557953700805,-9.897734166292594,2.843914464386743,-98.74706939069816,-59.69875810403482,36.46003429664295,117.22689489377153,-9.920117534007773,-24.757269384626216,-13.487998137305123,-2.2346940301317897,4.622939903177636
2067,ACCESS-ESM1-5,-1.4609305632693692,-88.46608436826318,-94.37269854510457,-91.34520566823561,-84.01545852463639,-76.09384746037783,-8.498143082094966,-10.07166104107393,-9.09739746125322,-7.780888795167096,-6.8577289424410885,1.4295011303172789,-98.90819122323737,-60.89453189850544,42.12620715330782,131.78492005997848,-7.349528823732077,-20.69287509091015,-10.238080462396738,-3.599181808380747,2.536532283636941
2068,ACCESS-ESM1-5,-4.077989678222882,-89.38999142241583,-94.96510233776367,-92.13380844477119,-85.09164014932904,-77.44594259207389,-10.354782045560007,-12.5485673471881,-11.262528499564429,-9.355861604805815,-8.097312623866792,2.1261475737413327,-99.06022197123399,-62.395285388140096,40.50813067012242,132.01495517434512,-8.939971732177687,-23.235236788926905,-12.074058727290748,-3.112057454799111,3.7797757950798694
2069,ACCESS-ESM1-5,-7.4882122265104485,-90.80193067847267,-95.76734636999862,-93.27204306915525,-86.9183330688216,-79.87207412736467,-14.386991715270836,-16.821637994392702,-15.357203632706085,-13.32499478613023,-11.865806981335169,-1.4092476239421614,-99.2439303548769,-65.02098375123992,37.12597172835261,127.70425928779181,-13.0347008574133,-26.69127760362245,-16.56114372159182,-6.946341832494928,0.16296019305910733
2070,ACCESS-ESM1-5,-3.9666511242111735,-91.65837435612274,-96.26078926275636,-93.95694969867924,-87.99921544700209,-81.28141378796485,-10.394424322821171,-12.402944916168025,-11.188418769344132,-9.485538819794304,-8.29078740726471,-2.018541410336805,-99.35856632560099,-66.27932692021218,40.725662652819075,138.99150747078298,-9.44348283210827,-24.911078307473662,-14.383662059472236,-5.557669673419319,0.39257080717022047
2071,ACCESS-ESM1-5,-7.49277330701169,-92.77921623382255,-96.86895297382262,-94.83360539091824,-89.49480872880933,-83.33101843433167,-15.202244191835145,-17.720601702113026,-16.247284130408314,-14.13380517741949,-12.564276391271578,-2.454039676746783,-99.47509902463028,-67.42419397997377,39.02568548344174,139.05623499484844,-13.762941223559528,-27.550759590299695,-18.392673723666864,-6.9825124147337885,0.2692681373925953
2072,ACCESS-ESM1-5,-6.458065483985875,-93.70918976799771,-97.35493225867276,-95.54055483678468,-90.72982640405245,-85.09127497080502,-13.919101740790985,-16.20175591445373,-14.825645017992128,-12.894938015964053,-11.560361118461572,-2.7494668810419007,-99.57126887491273,-69.52319108825262,41.8442820803999,152.03445128305918,-12.459990946712951,-27.075100925342067,-16.59482385610177,-7.27247459630539,-0.6562714886824073
2073,ACCESS-ESM1-5,-7.537868751198262,-94.44687615394818,-97.73831430020631,-96.11191354254322,-91.70334636741482,-86.46414935729084,-13.657296655821016,-16.125255072795618,-14.637745628241284,-12.589674743888013,-11.109995894531366,-1.3523756076344429,-99.64852104979012,-70.61439260080961,43.394289800406895,157.30601445660488,-12.305719655879704,-27.05570414054017,-17.27582678036127,-6.523405754029444,0.9447358868681155
2074,ACCESS-ESM1-5,-8.459007965315003,-95.16047734159888,-98.09223427861863,-96.65321236053983,-92.68026761909822,-87.89105013953267,-14.58942187758,-17.080353400616122,-15.60874397757608,-13.53334834310509,-12.02362995837063,-1.2931270878468348,-99.71368425325218,-71.95867802689875,44.65569942186476,167.7259246608249,-13.08961202445404,-26.92396870467695,-17.645654137504387,-6.817645201350675,0.32580735651109194
2075,ACCESS-ESM1-5,-1.5786706581674026,-95.5925521332866,-98.30943306775846,-96.97811609272229,-93.25000587428917,-88.69367466825345,-11.119470181340652,-13.270083674350918,-11.978106104629427,-10.177420794440161,-8.939482842024605,0.7033931207486743,-99.75436641583909,-72.90549299423516,49.888809347663376,193.60577331642838,-9.538678362749303,-25.12493088965895,-14.402389150869944,-4.454076252299599,1.6929401834653746
2076,ACCESS-ESM1-5,-2.069069645682664,-96.08314014577435,-98.54185152231943,-97.34520993277145,-93.91851549754794,-89.69477892066908,-13.13944484858438,-15.446937726916477,-14.067455035517307,-12.145455948867333,-10.78923110114809,1.6132229369387852,-99.79405981948003,-74.45602912566078,49.613719016023424,207.17244456970744,-11.200509111098683,-25.793007773801012,-15.416565368049284,-4.512351128934144,2.521846374424719
2077,ACCESS-ESM1-5,-4.717741277090537,-96.54896952804775,-98.75722150337782,-97.69347550547197,-94.55873758116317,-90.66309296680247,-14.208893311128513,-16.768325557773732,-15.231866523986914,-13.098354499328412,-11.568652622557263,1.5047568625802588,-99.83144911675518,-76.01467721253286,49.19811080570593,211.53559212550527,-12.140995155368895,-27.21265591013468,-16.854843346507174,-4.9941781314173035,2.8473920786999773
2078,ACCESS-ESM1-5,-6.4649806413181405,-97.0309583992394,-98.96357212987799,-98.03577237991497,-95.26015969879792,-91.73939227289146,-15.07670589534531,-17.493280314218097,-16.05382157699432,-14.022174986786384,-12.567139725182075,-0.9499287478272556,-99.86487629818488,-78.15455410769388,46.73651385766178,221.55108241435252,-13.408960603432263,-28.152098693048217,-17.25154152409576,-6.850897172268744,-0.32417033039135135
2079,ACCESS-ESM1-5,-7.426479840552103,-97.37915817100156,-99.1082477814835,-98.28064304304004,-95.76328873117352,-92.51714131780531,-12.977253192835503,-15.154580287675866,-13.867558276622372,-12.014887754584326,-10.700445063297593,-1.1159122961614976,-99.8884687366222,-79.55249387807746,51.94084002515464,246.24024504976188,-11.664783992381555,-25.400683626098786,-16.35570315831125,-6.5635042362354294,-0.21330534585970673
2080,ACCESS-ESM1-5,-6.69369113575592,-97.7439470501599,-99.25167749961066,-98.53017585486064,-96.3035330756596,-93.37871677003244,-14.898767400908831,-17.21139082533394,-15.80874104611526,-13.894069163786671,-12.53617750288296,-2.2474115768429117,-99.90997983749793,-80.92542236446587,52.17731305655844,264.35599041126716,-12.13031216613923,-24.62878546689003,-16.533890566594067,-7.015468881683528,-1.1149987511776516
2081,ACCESS-ESM1-5,-9.200301220084883,-98.0366234436665,-99.37016191965412,-98.73990103949446,-96.728879439529,-94.00348395074646,-15.28547423456047,-17.980099766879487,-16.403779235528383,-14.106372648631138,-12.470177700691675,-0.5608385540716021,-99.92679860004253,-82.12153616613436,56.47576143359083,265.11812469344596,-13.631990100114361,-26.91222675103456,-19.40884698020294,-7.280384491912728,1.21415434433636
