region_list,model_name,model_cumulative,burke_growth,burke_level,newell_growth,newell_level
Guatemala,ACCESS-ESM1-5,-77.5310570344744,-100.0,-51.932350505476485,-75.43135099153724,-49.87234818714249
Guinea,ACCESS-ESM1-5,-41.541689591429034,-99.99999999997917,-44.10665621119897,-76.57024789172675,-37.874754758374806
Guinea-Bissau,ACCESS-ESM1-5,-64.25799492647421,-100.0,-59.972672396787004,-84.1031291676806,-57.68242543207019
Guyana,ACCESS-ESM1-5,-67.48458107025866,-99.99999999999999,-44.42770240697816,-84.15965718304129,-45.16009503490933
Honduras,ACCESS-ESM1-5,-93.79574636035078,-100.0,-48.120553184881906,-77.60699264706213,-51.15064853445775
Hungary,ACCESS-ESM1-5,-22.992079912106078,-99.97142933026325,-21.013917142704496,-63.53018488503847,-16.44507511285071
Iceland,ACCESS-ESM1-5,89.39804471706046,44704629.01735566,17.296964673926652,155.51984832610378,11.004139518302004
India,ACCESS-ESM1-5,-19.179862586641573,-99.99999689980312,-28.68693032934785,35.98742124135875,-22.51882128631003
Indonesia,ACCESS-ESM1-5,-5.825214281425106,-99.99999943202225,-27.64986051148879,-21.68242600553661,-20.29619158348566
Iran,ACCESS-ESM1-5,-4.987122521674603,-99.91003734077889,-6.96169223836659,25.277181456704934,1.172572783831094
Iraq,ACCESS-ESM1-5,-39.170839099517586,-99.99978928893289,-37.15103868551189,-1.60390562946377,-33.983750493141414
Ireland,ACCESS-ESM1-5,3.8140409500746486,-96.35854018141575,-6.514695522474678,-35.54840065181604,-5.263198326730373
Italy,ACCESS-ESM1-5,-13.440356097803496,-99.9982094849613,-19.054329122073664,-89.63185470940094,-14.307611309817581
Japan,ACCESS-ESM1-5,8.652204746822312,-99.84912397575444,-16.031862334374548,-49.57843109280988,-15.082232684289494
Kazakhstan,ACCESS-ESM1-5,28.30154384537742,1371.561293480392,-0.30127701142688146,34.83101697569215,7.404052329962485
Kenya,ACCESS-ESM1-5,-29.73071658431885,-99.99986924393275,-42.392450460570764,1.3749217174530926,-35.65260753257245
Kosovo,ACCESS-ESM1-5,-14.42806778143295,-99.99806109264252,-18.34329957903581,-91.83392943604275,-12.813598384767694
Kyrgyzstan,ACCESS-ESM1-5,16.640495276833178,8982.74108092601,5.425422651440548,8.209052982601994,0.9090429978062753
Laos,ACCESS-ESM1-5,-26.05534645344816,-99.99999999880343,-44.382736780089004,-70.95971643944605,-38.87339971094947
Latvia,ACCESS-ESM1-5,8.084653487269122,312.32347364636024,-5.7761593653078425,-0.31594538669847405,-5.686432114177226
Lebanon,ACCESS-ESM1-5,-81.69097370590873,-99.99999968457678,-47.029745899583034,-91.80043800619762,-44.60465507899354
Lesotho,ACCESS-ESM1-5,-0.6864775730003658,-99.98587128055316,-15.168419523593135,-39.05968693180952,-10.855698250782208
Liberia,ACCESS-ESM1-5,2.3477214263060153,-99.99999938667055,-28.124749265999572,-0.5942813135592917,-18.39789137253619
Lithuania,ACCESS-ESM1-5,4.503315505593242,-5.159945106445352,-6.011561043362679,6.275192151498188,-1.988941937273081
Madagascar,ACCESS-ESM1-5,-19.274106748980245,-99.99999974604391,-28.519223670996563,-58.32992025452259,-24.116665322725154
Malawi,ACCESS-ESM1-5,0.46488713947001603,-99.99999995282354,-27.757700939806675,-44.27178175528953,-21.652363495846856
Malaysia,ACCESS-ESM1-5,-9.685343249431988,-99.99999971923074,-27.271113700524452,-16.10553034503009,-17.10599237754247
Mali,ACCESS-ESM1-5,-56.64039933082153,-100.0,-54.415087335530075,-66.43897537289502,-34.217883621393185
Mexico,ACCESS-ESM1-5,-13.73730175653678,-99.99999973604517,-31.645791860981454,-75.15014754460032,-28.37696791029461
Moldova,ACCESS-ESM1-5,-5.743329789189977,-99.94961122696121,-15.487905918416278,-77.53311718270655,-9.314966162569625
Mongolia,ACCESS-ESM1-5,21.61280746471097,50008944.64901191,24.791216240138958,214.6869417920443,16.304042202423485
Mozambique,ACCESS-ESM1-5,4.964764274866629,-99.99999999812087,-30.907967389638213,-54.5931753638673,-17.71150747415728
Myanmar,ACCESS-ESM1-5,-15.453196081573273,-99.9999995595599,-34.337652227883964,9.748401813312203,-28.973551930932373
