region_list,model_name,model_cumulative,burke_growth,burke_growth_5,burke_growth_25,burke_growth_75,burke_growth_95,burke_level,burke_level_5,burke_level_25,burke_level_75,burke_level_95,newell_growth,newell_growth_5,newell_growth_25,newell_growth_75,newell_growth_95,newell_level,newell_level_5,newell_level_25,newell_level_75,newell_level_95
Canada,ACCESS-ESM1-5,27.825301652327994,93928562600.32771,2103608139.4660673,16291643045.327742,588990054131.2742,7953926435044.081,48.32628086929447,37.49093463786615,43.69762508639108,53.53944490390905,60.847158421523574,176.27712751416016,-89.91679569309098,-5.646876337348328,4904.908116119827,329247049.0429542,24.120725571990363,-15.357957317265154,-0.18922449656401108,45.41373995001683,69.16983281347598
Russia,ACCESS-ESM1-5,32.18544911968249,260860379366.4338,5436098883.991567,45566148035.71348,1634618290916.9756,22631262246435.52,34.99770887430667,26.91487833341537,31.57752624798922,38.76215035308772,44.35730615559383,339.4183073187313,-82.32959322580155,11.890754572940738,5424.06734621895,824704782.2435529,22.383949838186155,-10.47385416778655,2.880256512248336,43.191667947163246,62.85437343973301
Norway,ACCESS-ESM1-5,34.41236030026402,703934152.4564924,32747448.57924922,171507019.60417813,3126470272.2257676,27925966277.06014,21.60499840231498,16.374267589520496,19.41256959019828,24.088370754106347,27.70241020124051,334.35331380204263,-84.20885283153505,11.722000505284356,3668.0388135776666,31977144.729234543,14.340652742308613,-10.429868340483072,1.2453908190680152,27.659052705926484,38.065124188002294
Iceland,ACCESS-ESM1-5,89.39804471706046,44704629.01735566,3321269.68092152,13753470.557845201,161741403.52256623,1038528302.6482569,17.296964673926652,13.339699295084406,15.675155401942487,19.09461681452329,21.765909929738747,155.51984832610378,-81.13446757622246,2.6048877280302363,1239.263849553249,3486530.8651193725,11.004139518302004,-15.071255236609407,-5.68720503821033,16.909922802113847,24.093812719623195
Finland,ACCESS-ESM1-5,44.23982493117249,8034440.399419714,673246.6572659537,2676629.7566712494,25681879.595585797,161234819.54822752,14.785238220999531,10.348453546344704,12.58202091780085,17.001903825215958,20.165354672816015,189.00348377978708,-50.036956251459436,30.07508864399255,1205.6990020432609,3654470.8577114874,15.193493974270211,-5.294397165525982,6.319503578496821,28.44956083205833,41.212483984856746
Tajikistan,ACCESS-ESM1-5,0.2758845113902675,408565.9282430079,53306.38188517861,168525.30463146744,1035956.9345198821,4955874.522444865,10.072017661894517,6.843789376114451,8.60932561586143,11.535961031574903,13.724272951198358,46.73229065754495,-75.73418708288257,2.321002163141145,269.4569949838756,282272.29632187006,6.1486760888736836,-15.499693251579822,-3.837275602304435,8.935455165725593,10.257862176487071
Mongolia,ACCESS-ESM1-5,21.61280746471097,50008944.64901191,4485670.774046679,16449389.78125822,143257296.78416416,892057656.3508952,24.791216240138958,19.058741079067907,22.06418235641261,27.50950037526487,31.283092386436053,214.6869417920443,-35.464767693306825,9.277878756256474,9181.116789527325,30625732.175185595,16.304042202423485,-7.56798687766216,0.8530306759431061,23.925726665768266,25.879564997066392
Sweden,ACCESS-ESM1-5,34.23197900810546,669660.8173008342,85199.87207837845,258262.55102527904,1742378.2050475948,8742356.204124019,6.874789548581761,4.283669601071716,5.661784398855696,8.055273077176706,9.820839391612846,95.59803452472539,-55.68935381248119,20.664510446811107,570.9402392805151,551402.8367739063,7.233262630314852,-6.440542647795718,1.5716698573698562,17.439148009782862,27.508509361330773
Kyrgyzstan,ACCESS-ESM1-5,16.640495276833178,8982.74108092601,1721.6901588605867,4195.088099156264,18711.896538696117,65175.51423260991,5.425422651440548,2.5924481833317303,4.0750449909843445,6.678923117575919,8.617755408043703,8.209052982601994,-86.8907758572592,-30.089330177795176,182.2615065273599,25398.1469609762,0.9090429978062753,-18.583328038865123,-3.2517910835710957,6.40410336221175,9.488912536989245
Estonia,ACCESS-ESM1-5,12.55647694318105,1599.1257802167706,235.3733627268252,683.0786556892598,3559.6555649555385,12113.017830615772,-4.761770661729548,-7.358115255157305,-5.824146474566594,-3.5394544048438337,-1.8096636656932952,9.740707916839863,-92.99207933100412,-35.213567347204936,202.19142652282332,8206.903990905417,-2.8796232271283473,-24.54433055894593,-7.812231704376391,1.4019176725098281,4.991226960000049
